Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2014
310M200US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",187010,187010,203022
310M200US25980,25980,"Hinesville, GA Metro Area",77917,77917,82311
310M200US26140,26140,"Homosassa Springs, FL Metro Area",141236,141236,139377
310M200US26300,26300,"Hot Springs, AR Metro Area",96024,96024,97322
310M200US26380,26380,"Houma-Thibodaux, LA Metro Area",208178,208176,211348
310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",5920416,5920490,6490180
310M200US26580,26580,"Huntington-Ashland, WV-KY-OH Metro Area",364908,364930,363325
310M200US26620,26620,"Huntsville, AL Metro Area",417593,417593,441086
310M200US26820,26820,"Idaho Falls, ID Metro Area",133265,133337,138266
310M200US26900,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",1887877,1888082,1971274
310M200US26980,26980,"Iowa City, IA Metro Area",152586,152586,164357
310M200US27060,27060,"Ithaca, NY Metro Area",101564,101595,104691
310M200US27100,27100,"Jackson, MI Metro Area",160248,160248,159741
310M200US27140,27140,"Jackson, MS Metro Area",567122,567645,577564
310M200US27180,27180,"Jackson, TN Metro Area",130011,130009,130225
310M200US27260,27260,"Jacksonville, FL Metro Area",1345596,1345596,1419127
310M200US27340,27340,"Jacksonville, NC Metro Area",177772,177772,187589
310M200US27500,27500,"Janesville-Beloit, WI Metro Area",160331,160331,161188
310M200US27620,27620,"Jefferson City, MO Metro Area",149807,149807,150866
310M200US27740,27740,"Johnson City, TN Metro Area",198716,198716,201091
310M200US27780,27780,"Johnstown, PA Metro Area",143679,143674,137732
310M200US27860,27860,"Jonesboro, AR Metro Area",121026,121026,126764
310M200US27900,27900,"Joplin, MO Metro Area",175518,175516,176141
310M200US27980,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",154924,154925,163108
310M200US28020,28020,"Kalamazoo-Portage, MI Metro Area",326589,326596,334017
310M200US28100,28100,"Kankakee, IL Metro Area",113449,113449,111375
310M200US28140,28140,"Kansas City, MO-KS Metro Area",2009342,2009338,2071133
310M200US28420,28420,"Kennewick-Richland, WA Metro Area",253340,253340,274295
310M200US28660,28660,"Killeen-Temple, TX Metro Area",405300,405298,424858
310M200US28700,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",309544,309542,308079
310M200US28740,28740,"Kingston, NY Metro Area",182493,182494,180445
310M200US28940,28940,"Knoxville, TN Metro Area",837571,837579,857585
310M200US29020,29020,"Kokomo, IN Metro Area",82752,82752,82982
310M200US29100,29100,"La Crosse-Onalaska, WI-MN Metro Area",133665,133665,136749
310M200US29180,29180,"Lafayette, LA Metro Area",466750,466750,484974
310M200US29200,29200,"Lafayette-West Lafayette, IN Metro Area",201789,201789,211697
310M200US29340,29340,"Lake Charles, LA Metro Area",199607,199629,203883
310M200US29420,29420,"Lake Havasu City-Kingman, AZ Metro Area",200186,200186,203361
310M200US29460,29460,"Lakeland-Winter Haven, FL Metro Area",602095,602095,634638
310M200US29540,29540,"Lancaster, PA Metro Area",519445,519448,533320
310M200US29620,29620,"Lansing-East Lansing, MI Metro Area",464036,464032,470458
310M200US29700,29700,"Laredo, TX Metro Area",250304,250304,266673
310M200US29740,29740,"Las Cruces, NM Metro Area",209233,209241,213676
310M200US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",1951269,1951269,2069681
310M200US29940,29940,"Lawrence, KS Metro Area",110826,110826,116585
310M200US30020,30020,"Lawton, OK Metro Area",130291,130291,131183
310M200US30140,30140,"Lebanon, PA Metro Area",133568,133573,136359
310M200US30300,30300,"Lewiston, ID-WA Metro Area",60888,60888,62196
